customer_id,name,email,phone_number,country,city,age,gender,interests,signup_date,last_purchase_date,total_spent,purchase_frequency,churn
CUST0001,Laura Hill,patrickcooke@hamilton.com,+1 (830) 982-9806,CA,South Lisa,61,F,"Beauty, Fashion",2022-08-17,2025-02-13,225.82,1.9,0
CUST0002,Kimberly Burnett,stonebrenda@hotmail.com,(938) 909-3033,US,Lake Priscilla,33,M,"Books, Sports, Electronics",2022-08-15,2024-04-17,3001.28,4.2,1
CUST0003,Abigail West,williamsbailey@hotmail.com,+1 (265) 189-5206,CA,North Tinahaven,45,Other,"Electronics, Sports",2022-12-18,2025-07-05,3934.91,2.1,0
CUST0004,Carolyn Rowland,kevinshah@conway.com,+234 690 602 6127,NG,Catherinehaven,49,M,"Books, Home Appliances",2023-03-19,2024-10-03,162.0,2.4,1
CUST0005,Amanda Johnson,melissa32@arnold.org,+44 7914 177971,UK,Jorgeburgh,59,F,"Sports, Home Appliances, Beauty",2023-01-09,2023-06-11,2233.89,3.8,1
CUST0006,David Coleman,chadoconnor@terry.net,+91 3752186 529,IN,West Victoria,38,M,Books,2023-06-06,2025-05-14,4146.1,3.2,0
CUST0007,Larry Jones,suttonrichard@bowman-cox.com,+91 5584424 249,IN,West Alejandro,57,Other,"Books, Electronics",2023-07-02,2024-04-21,1294.93,2.6,1
CUST0008,Brian Frost,brianna71@bailey.com,+91 2662054 149,IN,West Stacey,31,F,"Books, Beauty",2023-05-19,2024-04-28,4269.67,1.3,1
CUST0009,Patrick Faulkner,qvargas@gmail.com,+1 (803) 625-3547,CA,East Nicholas,18,Other,Electronics,2023-05-29,2024-03-04,3535.8,1.7,1
CUST0010,Nicholas Villegas,lmann@andersen-lindsey.net,+44 5699 389221,UK,Meyerbury,66,M,"Home Appliances, Beauty, Sports",2024-02-22,2024-09-16,3628.37,2.7,1
CUST0011,Jennifer Edwards,jonesjohn@martin.com,(861) 392-9074,US,South Ericaberg,62,M,"Beauty, Sports",2023-03-25,2023-08-07,555.96,1.5,1
CUST0012,Yolanda Barron,msmith@smith.com,+234 350 856 9652,NG,New Shaneburgh,45,Other,"Books, Beauty, Home Appliances",2023-08-07,2024-08-27,2418.98,2.9,1
CUST0013,Carrie Richardson,stephanie67@jackson-booker.com,+234 795 355 9832,NG,West Kevinport,64,M,"Electronics, Sports",2024-01-05,2025-02-14,1602.45,1.5,0
CUST0014,Mark Long,wallspatricia@yahoo.com,+44 1942 473024,UK,New Stevenport,35,Other,"Sports, Beauty, Books",2023-02-21,2024-01-17,1038.55,3.8,1
CUST0015,Steve Lopez,garciatravis@gmail.com,(641) 626-3518,US,Martinezfort,41,M,"Electronics, Sports",2023-05-01,2023-10-14,4179.88,1.8,1
CUST0016,Danielle Ruiz,michael28@yahoo.com,+44 2780 559876,UK,Martinstad,53,F,"Fashion, Home Appliances, Electronics",2022-08-05,2023-04-03,1444.13,4.9,1
CUST0017,Stephen Fletcher,justinanderson@manning-santana.com,(782) 303-8852,US,Davidfort,46,F,Electronics,2024-03-02,2025-02-02,2912.91,2.6,0
CUST0018,Michelle Nguyen,ganderson@gmail.com,+234 229 259 6638,NG,Port Gabrielleton,70,M,"Home Appliances, Electronics",2023-10-01,2024-10-19,4711.21,2.6,1
CUST0019,Kyle Smith,justin16@gmail.com,+1 (732) 256-9376,CA,East Juan,27,Other,"Electronics, Fashion",2024-01-08,2024-09-29,3184.28,0.7,1
CUST0020,Danielle Hoover MD,jacobbond@walters.com,(380) 296-3395,US,Smithborough,56,Other,Sports,2022-10-28,2023-12-11,2834.56,2.4,1
CUST0021,Joseph Graves,matthewmendoza@simmons.com,+91 5706947 459,IN,Wrightton,55,F,"Sports, Beauty",2022-10-09,2022-12-27,2307.52,2.5,1
CUST0022,Matthew Morris,mramirez@gmail.com,(541) 289-5133,US,Coxport,66,M,"Fashion, Books, Electronics",2022-12-19,2023-02-20,3087.19,3.8,1
CUST0023,Melanie Townsend,michael59@jacobs.org,+44 7292 191468,UK,East Crystalville,28,M,"Home Appliances, Sports",2022-10-25,2023-03-24,1275.34,3.0,1
CUST0024,Stacey Roth,eschaefer@montgomery.com,+91 9951610 838,IN,North David,63,F,"Home Appliances, Electronics, Fashion",2022-08-31,2025-02-27,1527.17,1.5,0
CUST0025,Stephanie Malone,shane16@gmail.com,+234 594 529 9581,NG,East Carolberg,60,M,"Electronics, Sports",2023-06-20,2024-08-20,3960.36,3.3,1
CUST0026,Amy Compton,isimpson@mata.biz,+44 7393 520320,UK,Jamietown,70,M,Electronics,2023-03-12,2023-05-21,3273.41,4.6,1
CUST0027,Michael Suarez,kevin34@hotmail.com,+44 5399 678972,UK,East Jeffreyside,70,Other,"Home Appliances, Electronics",2022-12-02,2025-05-08,3983.88,3.2,0
CUST0028,Charles Stephenson,morgan03@nichols.com,+91 7192640 432,IN,Lake Nicoleview,35,Other,"Home Appliances, Beauty, Electronics",2023-02-01,2024-04-29,3474.52,3.6,1
CUST0029,Logan Nguyen,hollowayjeffrey@thompson-bonilla.net,+1 (773) 988-2743,CA,Bautistaview,38,Other,"Electronics, Beauty",2024-02-11,2024-05-24,295.32,2.4,1
CUST0030,Connie Adams,seanblair@yahoo.com,+44 7039 255539,UK,Davisburgh,54,Other,Beauty,2024-06-05,2024-11-12,4813.36,4.3,1
CUST0031,Casey Hudson,andrew22@mcdaniel-lopez.com,+234 173 536 5018,NG,Stoutfurt,29,F,"Beauty, Home Appliances, Books",2023-07-22,2023-12-12,2923.61,3.9,1
CUST0032,Paul Smith,hcruz@hines.com,+44 3165 360406,UK,West Douglastown,70,F,Home Appliances,2022-10-16,2025-01-11,4985.03,2.5,1
CUST0033,Ashley Fitzgerald,harristimothy@hotmail.com,+234 554 935 3672,NG,Martinberg,24,M,"Home Appliances, Beauty",2024-04-06,2024-04-13,2100.91,1.9,1
CUST0034,Debra Stephens,garciakenneth@tanner.com,+234 124 332 7998,NG,Hernandezport,66,Other,Home Appliances,2023-02-05,2023-05-02,3346.66,2.3,1
CUST0035,Michelle Valenzuela,vickiwalker@yahoo.com,(465) 178-6467,US,West Sandraland,67,F,"Electronics, Sports, Home Appliances",2023-01-22,2024-09-10,1641.13,2.0,1
CUST0036,Cassandra Moreno,qhernandez@turner.com,+91 5548190 611,IN,Sarahland,57,F,"Home Appliances, Electronics, Fashion",2024-06-25,2024-07-28,365.6,2.8,1
CUST0037,Vanessa Strickland,dylan77@wilson.com,+234 248 192 6292,NG,East Katrina,46,Other,"Electronics, Beauty",2024-04-03,2024-04-04,2791.18,4.7,1
CUST0038,John Dudley DDS,leahvaldez@gmail.com,+1 (492) 528-9144,CA,Patelbury,37,Other,Sports,2023-04-30,2024-09-07,4016.64,3.7,1
CUST0039,Jennifer Lane,youngaaron@cox.com,+91 2848116 161,IN,Michaelberg,25,F,Beauty,2023-05-25,2023-10-01,556.73,5.0,1
CUST0040,Samuel Bonilla,jasonwalker@hotmail.com,+44 3257 222930,UK,South Jessica,50,Other,"Home Appliances, Beauty",2023-03-16,2025-02-28,2542.04,3.7,0
CUST0041,Michael Bates,kmonroe@thomas.com,+91 5111186 178,IN,New Mariahchester,42,M,"Sports, Fashion, Electronics",2024-01-22,2024-12-16,1294.28,3.0,1
CUST0042,Charles Rose,vjenkins@yahoo.com,+234 900 760 1216,NG,Danielton,39,Other,"Electronics, Books",2022-11-24,2023-09-03,3886.11,4.3,1
CUST0043,Carrie Martin,dfrazier@hotmail.com,+234 828 949 5227,NG,Jennachester,60,F,Home Appliances,2024-06-14,2024-07-08,4203.63,3.1,1
CUST0044,Brandon Gray,richardbrown@white-reese.net,+1 (719) 961-2264,CA,Woodsfurt,66,Other,"Home Appliances, Books",2024-07-23,2024-09-21,2473.27,2.0,1
CUST0045,Robert Lucas,daniel15@maxwell.com,+44 9873 211636,UK,East Carlaport,42,M,"Electronics, Books",2024-05-03,2025-02-22,4905.8,1.6,0
CUST0046,Timothy Allen,elliottkristy@williams.com,+91 1142249 465,IN,Susanhaven,42,Other,"Fashion, Home Appliances, Electronics",2022-12-23,2025-04-28,3555.62,4.2,0
CUST0047,Molly Dickson,richard81@aguirre.biz,+44 8814 714841,UK,West Evanmouth,24,F,Sports,2022-12-29,2024-04-30,2561.23,3.2,1
CUST0048,Nathan Wilkerson,victoriamason@franklin.info,+91 3201130 447,IN,Michaelchester,59,M,Home Appliances,2022-09-30,2025-05-29,175.2,1.1,0
CUST0049,Daniel Bishop,ashleygamble@ballard.com,+234 660 988 2428,NG,Davismouth,59,M,"Beauty, Sports",2022-08-31,2025-07-26,1758.95,3.6,0
CUST0050,Douglas Cox,whitekelsey@andersen-good.info,+91 3356313 226,IN,Williamsport,66,F,"Electronics, Sports, Beauty",2022-12-09,2024-03-12,4775.28,3.3,1
CUST0051,Sylvia Anderson,nathaniel68@yahoo.com,+44 5306 815711,UK,New Tiffanyton,32,Other,Home Appliances,2023-06-07,2025-03-03,3192.69,4.6,0
CUST0052,Kristina Moore,nicholas96@walker.com,(457) 577-8675,US,Rodriguezburgh,24,F,Beauty,2024-02-26,2024-09-03,3825.81,3.7,1
CUST0053,Tammy Tate,umurphy@davies-tucker.info,+234 217 385 8447,NG,New Ericfort,68,M,"Books, Beauty",2024-02-19,2024-05-13,4526.78,0.7,1
CUST0054,Andre Burke,mayermichael@yahoo.com,+91 8942495 318,IN,East Mirandachester,54,Other,Fashion,2022-11-21,2023-10-18,813.29,2.9,1
CUST0055,Angela Jones,evansjennifer@yahoo.com,+44 9597 324505,UK,Jackton,57,Other,Home Appliances,2023-02-25,2024-03-22,486.94,4.4,1
CUST0056,Paul Martin,iolson@hotmail.com,+1 (902) 264-8156,CA,Ritashire,34,F,"Beauty, Electronics",2022-10-10,2024-08-05,801.28,2.6,1
CUST0057,Stephanie Gonzalez,elizabeth50@mosley.info,+91 6308442 216,IN,Bakertown,28,M,"Books, Sports",2023-05-29,2023-06-13,4515.93,3.5,1
CUST0058,Beth Cole,robinsontiffany@horton-schroeder.org,+234 486 321 6703,NG,East Teresa,34,F,"Fashion, Home Appliances",2023-07-15,2025-07-16,3230.8,2.4,0
CUST0059,Jack Turner,lyonsdeborah@yahoo.com,+91 7946668 520,IN,Michaelside,40,Other,"Beauty, Books",2023-10-22,2023-11-02,622.6,2.2,1
